Factor,HeadEstTriCount,MidEstTriCount,TailEstTriCount,Exact
4,258,607,575,8215
8,163,306,293,8214
4,646,1160,1197,16442
8,335,598,588,16441
16,187,297,304,16439
4,1099,2356,2299,32921
8,507,1205,1184,32920
16,269,568,579,32918
32,135,294,303,32917
4,2085,4571,4585,65872
8,943,2335,2320,65871
16,486,1140,1159,65869
32,265,568,580,65868
64,137,282,299,65867
4,4168,9648,9510,131842
8,2170,4666,4601,131841
16,1063,2387,2348,131839
32,569,1174,1169,131838
64,326,576,580,131837
4,8154,18873,18938,263620
8,4012,9543,9501,263619
16,2132,4595,4773,263617
32,1042,2288,2347,263616
64,534,1156,1180,263615
4,16904,37774,38061,527234
8,8155,19005,19107,527233
16,4176,9454,9562,527231
32,2097,4674,4686,527230
64,1004,2369,2348,527229
