EstTriCount,Factor,RatioR1,RatioR2,Exact
86189,4,17.3348,3.10603,667259
32215,8,37.9225,5.97975,667259
23410,10,48.8499,7.33973,667259
12499,16,78.621,11.3631,667259
549091,4,13.1639,2.98271,2225882
291229,8,28.6244,5.36323,2225882
198261,10,37.423,6.90564,2225882
92243,16,65.286,11.2864,2225882
12371,4,24.5633,2.87303,28677
7045,8,49.327,5.15533,28677
6963,10,58.4746,5.65885,28677
2110,16,113.218,10.7184,28677
46357,4,41.9414,3.36889,174578
23742,8,82.045,6.1106,174578
15790,10,111.302,7.68571,174578
8401,16,183.768,12.6055,174578
299117,4,81.2959,3.49274,1374119
126642,8,171.02,6.65556,1374119
90900,10,220.332,8.24122,1374119
54805,16,351.648,13.0498,1374119
73161,4,121.96,3.89956,727044
36968,8,162.163,6.99706,727044
30211,10,168.315,8.59798,727044
20342,16,266.365,13.4971,727044
19594,4,16.1803,2.49337,48265
8335,8,38.4995,4.48614,48265
5982,10,53.2042,5.26536,48265
2512,16,95.8561,9.36881,48265
719112,4,49.113,2.98983,3345241
347160,8,88.8216,4.64033,3345241
245499,10,108.956,5.63707,3345241
112266,16,201.434,9.25347,3345241
7525,4,45.129,5.11833,301812
3516,8,90.6821,10.0978,301812
2830,10,113.1,12.9046,301812
1884,16,182.553,20.3217,301812
