Graphs,Num Edges,Graph Construction,BFS,Conn-Comps,Tricnt-Min,Tricnt-Merge,Jaccard,Trictr-Min,Trictr-Merge,K-Truss,Max-Truss,Truss-Dec
ca-GrQc,14484,0.2641,0.0825,0.0066,0.0059,0.0059,0.0149,0.0066,0.0065,0.0032,0.0173,0.0143
ca-HepTh,25973,0.4114,0.1128,0.0081,0.0052,0.0048,0.0443,0.0063,0.0058,0.0038,0.0209,0.0156
as-caida20071105,53381,0.7743,0.1437,0.0122,0.0349,1.1407,0.6731,0.0381,1.1439,0.0186,0.0797,0.0397
facebook_combined,88234,1.1833,0.0248,0.0094,0.2632,0.2954,0.0493,0.2645,0.2968,0.1539,0.5461,0.472
ca-CondMat,93439,1.2727,0.2101,0.0149,0.0279,0.0333,0.2309,0.0304,0.0358,0.0172,0.1311,0.0722
ca-HepPh,118489,1.5751,0.1037,0.0148,0.4462,0.4898,0.1382,0.4489,0.4924,0.2748,0.404,0.5768
email-Enron,183831,2.4186,0.4124,0.0183,0.2207,0.4696,0.9165,0.2264,0.4746,0.1456,0.8673,0.3427
ca-AstroPh,198050,2.5489,0.1431,0.0206,0.2122,0.2983,0.2599,0.2159,0.3021,0.1378,0.6402,0.4182
loc-brightkite_edges,214078,2.6647,0.4336,0.0275,0.2213,0.3315,1.3466,0.2301,0.34,0.1687,0.4883,0.36
soc-Epinions1,405740,5.0575,0.4074,0.0365,0.8237,1.8627,3.4277,0.8353,1.8745,0.5923,2.9999,1.1582
amazon0601,2443408,28.7435,2.1594,0.2645,0.6977,2.5684,0,0.7587,2.6287,0.6284,6.2614,1.8164
com-Youtube,2987624,36.0688,6.0387,0.4118,5.5,16.0007,0,5.6162,16.1142,4.8273,12.8802,7.0787
friendster,1806067135,12023.7931,362.749,168.2291,19499.3154,34238.1467,0,19529.4456,34268.2398,21155.3487,0,31356.5
delaunayn10,3056,0.0973,0.0111,0.0049,0.0006,0.0003,0.0011,0.0009,0.0006,0.0018,0.008,0.0037
delaunayn11,6127,0.1476,0.0157,0.0054,0.0008,0.0005,0.0025,0.0012,0.0008,0.0028,0.0126,0.0058
delaunayn12,12264,0.2365,0.0267,0.0068,0.0018,0.001,0.0082,0.0023,0.0014,0.0046,0.0178,0.0096
delaunayn13,24547,0.4092,0.0493,0.0085,0.0035,0.0017,0.0281,0.0045,0.0026,0.0081,0.0317,0.0165
delaunayn14,49122,0.7222,0.0931,0.0132,0.008,0.0033,0.0963,0.0098,0.0049,0.0153,0.0651,0.0312
delaunayn15,98274,1.3312,0.1791,0.021,0.0148,0.0069,0.3496,0.0181,0.0098,0.0306,0.1296,0.0625
delaunayn16,196575,2.5501,0.3546,0.0355,0.0302,0.0119,1.2826,0.0367,0.018,0.064,0.3067,0.1306
delaunayn17,393176,4.949,0.7023,0.0717,0.0525,0.0235,5.0781,0.0642,0.0346,0.1518,0.671,0.3046
delaunayn18,786396,9.5101,1.3968,0.1244,0.0997,0.0544,0,0.1233,0.076,0.4452,1.4655,0.7552
delaunayn19,1572823,18.6501,2.7768,0.2744,0.214,0.1168,0,0.2681,0.1631,1.0228,3.3737,1.9792
delaunayn20,3145686,37.198,5.5629,0.6024,0.4709,0.2289,0,0.5809,0.3286,2.8205,8.0215,5.4189
delaunayn21,6291408,73.5252,11.1037,1.2717,0.7893,0.4484,0,0.9756,0.6288,7.5073,22.0953,14.1159
delaunayn22,12582869,147.798,22.1427,2.873,1.6619,0.8573,0,2.0468,1.2239,36.4061,60.4223,37.8495
delaunayn23,25165784,295.7184,44.3626,6.7721,3.0825,1.6348,0,3.7533,2.2393,101.1284,166.3325,104.1138
delaunayn24,50331601,598.9867,88.3603,13.9053,6.723,3.072,0,8.1737,4.4086,306.179,456.9431,315.151
